Story,id,text_original,Sentiments-GPT5,Multi-GPT5,Sentiments-Perplexity,Multi-Perplexity,Sentiments-Mistral,Multi-Mistral,Sentiments-GPTOSS20B,Multi-GPTOSS20B
1-DHUDI,S1,Der Hase und der Igel. Es war einmal: So fangen Märchen an. Ein Märchen ist eine sehr alte Geschichte. Dieses Märchen heißt: Der Hase und der Igel. Das Märchen geht so:,neutral,no,neutral,no,neutral,no,neutral,no
1-DHUDI,S2,Es ist Herbst. Der Wind weht über die Felder. Die Sonne scheint hell. Die Vögel singen. Und die Bienen summen.,positive,no,positive,no,positive,no,positive,no
1-DHUDI,S3,Es ist Sonntagmorgen. Die Kirchenglocken läuten. Alle sind fröhlich. Auch der Igel ist fröhlich.,positive,no,positive,no,positive,no,positive,no
1-DHUDI,S4,Der Igel hat eine Frau. Die Igelfrau ist im Haus beschäftigt. Und der Igel hat nichts zu tun. Also geht der Igel spazieren.,neutral,no,neutral,no,neutral,no,neutral,no
1-DHUDI,S5,Auf seinem Weg trifft der Igel einen Hasen. Der Hase geht auch spazieren. Und so sagt der Igel zum Hasen: Guten Morgen!,neutral,no,neutral,no,neutral,no,neutral,no
1-DHUDI,S6,Der Hase antwortet nicht. Der Hase ist nämlich nicht nett. Aber der Hase fragt den Igel: Wieso bist du so früh schon wach?,negative,no,negative,no,negative,no,negative,no
1-DHUDI,S7,Der Igel antwortet: Ich gehe spazieren. Der Hase lacht. Und sagt: Aber du hast krumme Beine. Mit diesen krummen Beinen kannst du nicht spazieren gehen.,negative,no,negative,no,negative,no,negative,no
1-DHUDI,S8,Der Igel ist wütend. Der Hase hat nämlich recht: Die Beine vom Igel sind krumm. Aber deshalb muss der Hase nicht über den Igel lachen.,negative,no,negative,no,negative,no,negative,no
1-DHUDI,S9,Also fragt der Igel den Hasen: Findest du deine Beine besser? Der Hase nickt.,neutral,no,neutral,no,neutral,no,neutral,no
1-DHUDI,S10,Und so sagt der Igel zum Hasen: Lass uns um die Wette laufen! Ich bin bestimmt schneller als du.,positive,no,positive,no,neutral,no,positive,no
1-DHUDI,S11,Der Hase lacht wieder. Und denkt: Der Igel kann nicht schneller sein als ich. Der Igel hat krumme Beine. Deshalb werde ich gewinnen.,negative,no,negative,no,negative,no,negative,no
1-DHUDI,S12,Der Hase sagt: Der Gewinner soll vom Verlierer einen Preis bekommen. Der Igel antwortet: Der Gewinner bekommt vom Verlierer eine Goldmünze. Und eine Flasche Wein. Der Hase ist einverstanden.,neutral,no,neutral,no,neutral,no,neutral,no
1-DHUDI,S13,Der Igel sagt: Ich muss zuerst etwas essen. Ich gehe jetzt nach Hause. Und frühstücke. In einer halben Stunde bin ich zurück. Dann laufen wir um die Wette. Der Hase ist zufrieden.,neutral,no,positive,no,neutral,no,neutral,no
1-DHUDI,S14,Und der Igel geht nach Hause. Auf seinem Weg nach Hause denkt der Igel: Der Hase hat lange Beine. Und der Hase ist schnell. Aber der Hase ist dumm. Ich bin schlau. Deshalb werde ich gewinnen.,positive,no,positive,no,positive,no,negative,no
1-DHUDI,S15,Zu Hause sagt der Igel zur Igelfrau: Zieh dich an. Du musst mit mir auf das Feld gehen. Ich will mit dem Hasen um die Wette laufen. Der Gewinner bekommt vom Verlierer eine Goldmünze. Und eine Flasche Wein. Komm mit!,neutral,no,positive,no,neutral,no,positive,no
1-DHUDI,S16,Die Igelfrau antwortet: Bist du dumm? Der Hase ist viel schneller als du. Du kannst nicht gewinnen.,negative,no,negative,no,negative,no,negative,no
1-DHUDI,S17,Der Igel ist wütend. Und sagt: Sei still! Ich will mit dem Hasen um die Wette laufen. Zieh dich an. Und komm mit!,negative,no,negative,no,negative,no,negative,no
1-DHUDI,S18,Also zieht die Igelfrau sich an. Und der Igel und die Igelfrau gehen zum Feld.,neutral,no,neutral,no,neutral,no,neutral,no
1-DHUDI,S19,Auf dem Weg sagt der Igel zur Igelfrau: Siehst du den langen Acker? Auf dem Acker laufen wir um die Wette.,neutral,no,neutral,no,neutral,no,neutral,no
1-DHUDI,S20,Der Hase läuft in einer Furche. Und ich laufe in der anderen Furche. Wir laufen oben am Acker los.,neutral,no,neutral,no,neutral,no,neutral,no
1-DHUDI,S21,Du musst nur folgende Dinge tun: Du stellst dich unten in die Furche. Dann wartest du auf den Hasen. Du siehst den Hasen kommen? Dann rufst du: Ich bin schon hier.,neutral,no,neutral,no,neutral,no,neutral,no
1-DHUDI,S22,Der Igel und die Igelfrau kommen beim Acker an. Der Igel zeigt der Igelfrau ihren Platz. Dann geht der Igel den Acker hinauf. Der Igel geht zu dem Treffpunkt mit dem Hasen. Der Hase wartet schon auf den Igel.,neutral,no,neutral,no,neutral,no,neutral,no
1-DHUDI,S23,Der Hase fragt den Igel: Kann es losgehen? Der Igel nickt. Hase und Igel machen sich bereit.,neutral,no,neutral,no,neutral,no,neutral,no
1-DHUDI,S24,Der Hase ruft: Auf die Plätze. Fertig. Los! Der Hase rennt los.,neutral,no,neutral,no,neutral,no,positive,no
1-DHUDI,S25,Aber der Igel geht nur 3 Schritte. Dann macht der Igel sich klein. Und der Igel bleibt ruhig an seinem Platz sitzen.,neutral,no,neutral,no,neutral,no,negative,no
1-DHUDI,S26,Der Hase kommt unten am Acker an. Die Igelfrau sieht den Hasen. Und die Igelfrau ruft: Ich bin schon hier!,positive,no,positive,no,positive,no,neutral,no
