id;text_original;Sentiments-GPT5;Multi-GPT5;Sentiments-Perplexity;Multi-Perplexity;Sentiments-Mistral;Multi-Mistral;Sentiments-GPTOSS20B;Multi-GPTOSS20B
S1;Frau Holle. Es war einmal: So fangen Märchen an. Ein Märchen ist eine sehr alte Geschichte. Dieses Märchen heißt: Frau Holle. Das Märchen geht so:;neutral;no;neutral;no;neutral;no;neutral;no
S2;Eine Frau hat 2 Töchter. Die eine Tochter ist schön. Und fleißig. Aber die andere Tochter ist hässlich. Und faul. Beide Töchter heißen Marie.;neutral;no;neutral;no;neutral;no;positive-negative;yes
S3;Die Frau hat aber die faule Marie viel lieber. Die faule Marie ist nämlich ihr eigenes Kind. Die fleißige Marie hat eine andere Mutter. Die Mutter von der fleißigen Marie ist aber schon gestorben. Die Frau ist also nur die Stiefmutter von der fleißigen Marie.;negative;no;negative;no;negative;no;neutral;no
S4;Die Frau hat die faule Marie viel lieber. Deshalb muss die fleißige Marie die ganze Arbeit allein machen: Jeden Tag muss die fleißige Marie am Brunnen sitzen. Und mit einem Spinnrad Wolle zu einem Faden machen.;negative;no;negative;no;negative;no;positive-negative;yes
S5;Die fleißige Marie wickelt den Faden auf eine Spule. Das ist eine sehr anstrengende Arbeit. Aber die fleißige Marie muss diese anstrengende Arbeit trotzdem jeden Tag machen. So will es die Stiefmutter.;negative;no;negative;no;negative;no;neutral;no
S6;An einem Tag sticht sich die fleißige Marie bei der Arbeit in den Finger. Der Finger blutet. Und auch die Spule mit der Wolle wird dabei blutig.;negative;no;negative;no;neutral;no;negative;no
S7;Marie will die blutige Spule im Brunnen waschen. Aber Marie passt nicht auf. Deshalb fällt die blutige Spule in den Brunnen. Und versinkt.;negative;no;negative;no;negative;no;negative;no
S8;Jetzt weint Marie viele Tränen: Die Stiefmutter wird nämlich sehr böse darüber sein. Und mit Marie schimpfen. Am Abend geht Marie zur Stiefmutter. Und sagt: Liebe Stiefmutter: Die Spule ist mir in den Brunnen gefallen.;negative;no;negative;no;negative;no;negative;no
S9;Da wird die Stiefmutter sehr böse. Und sagt: Du dummes Kind. Du hast die Spule in den Brunnen fallen lassen? Dann geh zurück zum Brunnen. Und hol die Spule wieder heraus.;negative;no;negative;no;negative;no;negative;no
S10;Marie weint. Aber Marie geht zurück zum Brunnen. Marie muss die Spule aus dem Brunnen holen.;negative;no;negative;no;negative;no;neutral;no
S11;Marie denkt: Was soll ich jetzt tun? Marie hat große Angst vor ihrer Stiefmutter. Deshalb springt Marie in den Brunnen. Der Brunnen ist dunkel. Und sehr tief.;negative;no;negative;no;negative;no;negative;no
S12;Aber Marie ertrinkt nicht. Marie fällt immer tiefer in den Brunnen. Dabei dreht sich alles. Und plötzlich ist der Brunnen weg.;neutral;no;neutral;no;neutral;no;negative;no
S13;Marie liegt auf einer Wiese. Die Sonne scheint. Und die Vögel singen.;positive;no;positive;no;positive;no;positive;no
S14;Marie ist überrascht. Und denkt: Wo bin ich? Dann steht Marie auf. Und geht über die Wiese.;neutral;no;neutral;no;neutral;no;positive;no
S15;Auf der Wiese steht ein alter Backofen. Der Backofen ist aus Mauersteinen. Der Backofen dampft. Im Backofen ist nämlich Brot. Das Brot ist fertig gebacken.;neutral;no;neutral;no;neutral;no;neutral;no
S16;Da ruft das Brot: Zieh mich heraus. Zieh mich heraus. Sonst verbrenne ich.;neutral;no;neutral;no;neutral;no;neutral;no
