id,text_original
S1,Der Wolf und die 7 Geißlein. Es war einmal: So fangen Märchen an. Ein Märchen ist eine sehr alte Geschichte. Dieses Märchen heißt: Der Wolf und die 7 Geißlein. Das Märchen geht so:
S2,Eine Geiß hat 7 Geißlein. Eine Geiß ist eine Ziege. Und die Geißlein sind die Kinder von der Ziege. Die Ziegenmutter liebt ihre Ziegenkinder sehr.
S3,Es ist ein schöner Morgen. Und die Ziegenmutter sagt zu ihren Ziegenkindern: Ich gehe in den Wald. Und hole Futter.
S4,Passt gut auf euch auf! Vielleicht kommt der Wolf. Der Wolf ist ein böses Tier. Der Wolf will euch fressen.
S5,Deshalb dürft ihr nicht die Tür aufmachen. Der Wolf ist schlau. Und der Wolf kann sich verkleiden. Aber ihr erkennt den Wolf an seiner Stimme:
S6,Die Stimme vom Wolf ist dunkel. Und böse. Und ihr erkennt den Wolf an seinen Pfoten: Die Pfoten vom Wolf sind schwarz.
S7,So erkennt ihr den Wolf. Ihr dürft dem Wolf nicht die Tür aufmachen.
S8,Die Ziegenkinder antworten: Liebe Mutter. Hab keine Angst. Wir passen gut auf uns auf. Wir machen die Tür nicht auf.
S9,Die Ziegenmutter ist beruhigt. Und die Ziegenmutter geht in den Wald. Jetzt sind die Ziegenkinder alleine im Haus. Die Ziegenkinder spielen.
S10,Plötzlich klopft es an der Tür. Eine Stimme ruft: Liebe Kinder. Macht die Tür auf. Ich habe Geschenke für euch.
S11,Die Stimme ist dunkel. Und böse. Deshalb rufen die Ziegenkinder: Du bist nicht unsere Ziegenmutter. Die Stimme von unserer Ziegenmutter ist hell. Und freundlich. 
S12,Aber deine Stimme ist dunkel. Und böse. Du bist der Wolf. Wir machen die Tür nicht auf.
S13,Der Wolf ärgert sich. Und verschwindet. Der Wolf geht in einen Laden. Der Wolf kauft ein großes Stück Kreide.
S14,Der Wolf isst die Kreide. Der Wolf weiß nämlich: Kreide macht die Stimme hell.
S15,Dann geht der Wolf wieder zum Haus von den Ziegenkindern. Der Wolf klopft an die Tür. Und ruft: Liebe Kinder. Macht die Tür auf. Ich habe Geschenke für euch.
S16,Die Ziegenkinder denken: Die Stimme ist hell. Und die Stimme ist freundlich. So wie die Stimme von unserer Ziegenmutter.
S17,Aber die Ziegenkinder sind vorsichtig. Die Ziegenkinder gucken aus dem Fenster. Und die Ziegenkinder sehen eine schwarze Pfote.
S18,Deshalb rufen die Ziegenkinder: Du bist nicht unsere Ziegenmutter. Unsere Ziegenmutter hat eine weiße Pfote. Deine Pfote ist schwarz. Du bist der Wolf. Wir machen die Tür nicht auf.
S19,Der Wolf ärgert sich. Und verschwindet. Jetzt hat der Wolf eine Idee: Der Wolf geht zum Bäcker.
S20,Der Wolf sagt zum Bäcker: Meine Pfote tut weh. Mach mir Teig auf meine Pfote. Das kühlt meine Pfote. Dann tut meine Pfote nicht mehr weh.
S21,Der Bäcker hat Angst vor dem Wolf. Deshalb macht der Bäcker Teig auf die Pfote vom Wolf.
S22,Dann geht der Wolf zum Müller. Der Wolf weiß: Der Müller macht aus Körnern weißes Mehl.
S23,Also sagt der Wolf zum Müller: Mach weißes Mehl auf meine Pfote.
S24,Der Müller antwortet: Du bist der böse Wolf. Ich helfe dir nicht.
S25,Der Wolf ärgert sich. Und sagt: Mach weißes Mehl auf meine Pfote. Oder ich fresse dich!
S26,Jetzt hat der Müller Angst. Deshalb macht der Müller weißes Mehl auf die Pfote vom Wolf. Die Pfote vom Wolf ist jetzt auch ganz weiß.
S27,So geht der Wolf wieder zum Haus von den Ziegenkindern. Der Wolf klopft an die Tür.
S28,Und ruft: Liebe Kinder. Macht die Tür auf. Ich habe Geschenke für euch.
S29,Die Ziegenkinder rufen: Deine Stimme ist hell. Und freundlich. So wie die Stimme von unserer Ziegenmutter.
S30,Aber zeig uns erst deine Pfote. Der Wolf hält seine Pfote vor das Fenster.
S31,Die Ziegenkinder sehen eine weiße Pfote. Die Ziegenkinder denken: Das ist unsere Ziegenmutter.
S32,Die Ziegenkinder freuen sich. Und die Ziegenkinder machen die Tür auf. Doch vor der Tür steht der böse Wolf.
S33,Die Ziegenkinder erschrecken ganz fürchterlich. Und die Ziegenkinder haben große Angst. Die Ziegenkinder verstecken sich im Haus:
S34,Das 1. Ziegenkind versteckt sich unter dem Tisch. Das 2. Ziegenkind versteckt sich im Bett.
S35,Das 3. Ziegenkind versteckt sich im Ofen. Das 4. Ziegenkind versteckt sich in der Küche.
S36,Das 5. Ziegenkind versteckt sich im Schrank. Das 6. Ziegenkind versteckt sich in der Waschschüssel. 
S37,Das 7. Ziegenkind versteckt sich in der Wanduhr. Die Wanduhr hat nämlich einen Uhrenkasten. Der Uhrenkasten ist ein sehr gutes Versteck.
S38,Der Wolf läuft durch das Haus. Und sucht die Ziegenkinder. Der Wolf findet 6 Ziegenkinder.
S39,Aber das 7. Ziegenkind findet der Wolf nicht. Der Wolf guckt nämlich nicht in den Uhrenkasten.
S40,Der Wolf hat großen Hunger. Also verschluckt der Wolf alle 6 Ziegenkinder. Jetzt ist der Wolf satt. Und müde.
S41,Der Wolf geht hinaus auf die Wiese. Der Wolf legt sich unter einen Baum. Und schläft ein.
S42,Die Ziegenmutter hat Futter geholt. Jetzt kommt die Ziegenmutter nach Hause.
S43,Und erschrickt: Die Tür vom Haus ist offen. Die Ziegenmutter geht vorsichtig ins Haus.
S44,Die Ziegenmutter sieht: Der Tisch ist umgefallen. Scherben liegen auf dem Boden. Ein Stuhl ist kaputt.
S45,Die Ziegenmutter sucht ihre Ziegenkinder. Und die Ziegenmutter ruft ihre Ziegenkinder. Aber die Ziegenkinder antworten nicht.
S46,Die Ziegenmutter sucht überall. Aber es ist kein Ziegenkind da.
S47,Plötzlich ruft eine Stimme: Liebe Ziegenmutter. Ich bin hier.
S48,Da guckt die Ziegenmutter in den Uhrenkasten. Und findet das 7. Ziegenkind. Das 7. Ziegenkind weint.
S49,Und das 7. Ziegenkind sagt: Der Wolf war hier. Und der Wolf hat die anderen Ziegenkinder gefressen.
S50,Jetzt weint auch die Ziegenmutter. Die Ziegenmutter geht nach draußen. Und das 7. Ziegenkind geht mit.
S51,Die Ziegenmutter sieht den Wolf: Der Wolf liegt unter einem Baum. Der Wolf schläft. Und der Wolf schnarcht laut.
S52,Die Ziegenmutter guckt sich den Wolf genau an: Der Wolf hat einen dicken Bauch. Der Bauch vom Wolf bewegt sich.
S53,Die Ziegenmutter denkt: Meine Ziegenkinder leben noch.
S54,Die Ziegenmutter sagt zum 7. Ziegenkind: Hol mir eine Schere. Und eine Nadel. Und einen Faden.
S55,Das 7. Ziegenkind holt diese Dinge. Die Ziegenmutter nimmt jetzt die Schere. Und die Ziegenmutter schneidet den Bauch vom Wolf auf.
