Text,Sentiments,Multi  
"Der Wolf und die 7 Geißlein. Es war einmal: So fangen Märchen an. Ein Märchen ist eine sehr alte Geschichte. Dieses Märchen heißt: Der Wolf und die 7 Geißlein. Das Märchen geht so:",neutral,no  
"Eine Geiß hat 7 Geißlein. Eine Geiß ist eine Ziege. Und die Geißlein sind die Kinder von der Ziege. Die Ziegenmutter liebt ihre Ziegenkinder sehr.",positive,no  
"Es ist ein schöner Morgen. Und die Ziegenmutter sagt zu ihren Ziegenkindern: Ich gehe in den Wald. Und hole Futter.",positive,no  
"Passt gut auf euch auf! Vielleicht kommt der Wolf. Der Wolf ist ein böses Tier. Der Wolf will euch fressen.",negative,no  
"Deshalb dürft ihr nicht die Tür aufmachen. Der Wolf ist schlau. Und der Wolf kann sich verkleiden. Aber ihr erkennt den Wolf an seiner Stimme:",negative,no  
"Die Stimme vom Wolf ist dunkel. Und böse. Und ihr erkennt den Wolf an seinen Pfoten: Die Pfoten vom Wolf sind schwarz.",negative,no  
"So erkennt ihr den Wolf. Ihr dürft dem Wolf nicht die Tür aufmachen.",negative,no  
"Die Ziegenkinder antworten: Liebe Mutter. Hab keine Angst. Wir passen gut auf uns auf. Wir machen die Tür nicht auf.",positive,no  
"Die Ziegenmutter ist beruhigt. Und die Ziegenmutter geht in den Wald. Jetzt sind die Ziegenkinder alleine im Haus. Die Ziegenkinder spielen.",positive,no  
"Plötzlich klopft es an der Tür. Eine Stimme ruft: Liebe Kinder. Macht die Tür auf. Ich habe Geschenke für euch.",neutral,no  
"Die Stimme ist dunkel. Und böse. Deshalb rufen die Ziegenkinder: Du bist nicht unsere Ziegenmutter. Die Stimme von unserer Ziegenmutter ist hell. Und freundlich.",negative-positive,yes  
"Aber deine Stimme ist dunkel. Und böse. Du bist der Wolf. Wir machen die Tür nicht auf.",negative,no  
"Der Wolf ärgert sich. Und verschwindet. Der Wolf geht in einen Laden. Der Wolf kauft ein großes Stück Kreide.",negative,no  
"Der Wolf isst die Kreide. Der Wolf weiß nämlich: Kreide macht die Stimme hell.",neutral,no  
"Dann geht der Wolf wieder zum Haus von den Ziegenkindern. Der Wolf klopft an die Tür. Und ruft: Liebe Kinder. Macht die Tür auf. Ich habe Geschenke für euch.",neutral,no  
"Die Ziegenkinder denken: Die Stimme ist hell. Und die Stimme ist freundlich. So wie die Stimme von unserer Ziegenmutter.",positive,no  
"Aber die Ziegenkinder sind vorsichtig. Die Ziegenkinder gucken aus dem Fenster. Und die Ziegenkinder sehen eine schwarze Pfote.",neutral,no  
"Deshalb rufen die Ziegenkinder: Du bist nicht unsere Ziegenmutter. Unsere Ziegenmutter hat eine weiße Pfote. Deine Pfote ist schwarz. Du bist der Wolf. Wir machen die Tür nicht auf.",negative,no  
"Der Wolf ärgert sich. Und verschwindet. Jetzt hat der Wolf eine Idee: Der Wolf geht zum Bäcker.",negative,no  
"Der Wolf sagt zum Bäcker: Meine Pfote tut weh. Mach mir Teig auf meine Pfote. Das kühlt meine Pfote. Dann tut meine Pfote nicht mehr weh.",negative,no  
