id;text_original;Sentiments-GPT5;Multi-GPT5;Sentiments-Perplexity;Multi-Perplexity;Sentiments-Mistral;Multi-Mistral;Sentiments-GPTOSS20B;Multi-GPTOSS20B
S1;Schneewittchen und die 7 Zwerge. Es war einmal: So fangen Märchen an. Ein Märchen ist eine sehr alte Geschichte. Dieses Märchen heißt: Schneewittchen. Das Märchen geht so:;neutral;no;neutral;no;neutral;no;neutral;no
S2;Ein König und eine Königin leben in einem Schloss. Die Königin bekommt eine Tochter. Die Tochter ist sehr schön:;positive;no;positive;no;positive;no;neutral;no
S3;Die Tochter hat schwarze Haare. Und rote Lippen. Und ihre Haut ist so weiß wie Schnee. Deshalb bekommt die Tochter den Namen: Schneewittchen. ;positive;no;positive;no;neutral;no;neutral;no
S4;Schneewittchen ist nur wenige Tage alt. Da stirbt die Königin. Die Geburt war nämlich sehr schwer.;negative;no;negative;no;negative;no;negative;no
S5;Ein Jahr vergeht. Da heiratet der König eine neue Frau.;neutral;no;neutral;no;neutral;no;neutral;no
S6;Die neue Frau ist jetzt die Königin. Die neue Königin ist schön. Und auf ihre Schönheit ist die neue Königin sehr stolz. ;neutral;no;neutral;no;positive;no;neutral;no
S7;Deshalb darf niemand schöner sein als die Königin. Sonst wird die Königin sehr böse.;negative;no;negative;no;negative;no;negative;no
S8;Die Königin hat einen besonderen Spiegel. Der Spiegel kann sprechen.;neutral;no;neutral;no;neutral;no;neutral;no
S9;Und so fragt die Königin den Spiegel jeden Tag: Mein lieber Spiegel an der Wand: Wer ist die Schönste im ganzen Land?;neutral;no;neutral;no;neutral;no;neutral;no
S10;Und der Spiegel antwortet: Frau Königin: Du bist die Schönste im Land. Aber Schneewittchen ist noch viel schöner als du.;neutral - negative;yes;neutral;no;negative;no;neutral;no
S11;Da wird die Königin wütend. Die Königin ist neidisch auf Schneewittchen. Die Königin will nämlich die Schönste sein.;negative;no;negative;no;negative;no;negative;no
S12;So ruft die Königin einen Jäger zu sich. Die Königin sagt zum Jäger: Ich kann Schneewittchen nicht mehr sehen. Bring Schneewittchen in den Wald. Und töte Schneewittchen. ;negative;no;negative;no;negative;no;negative;no
S13;Dann bring mir das Herz von Schneewittchen. Und auch ihre Leber. So weiß ich: Schneewittchen ist tot.;negative;no;negative;no;negative;no;negative;no
