"Text","Sentiments","Multi"
"Schneewittchen und die 7 Zwerge. Es war einmal: So fangen Märchen an. Ein Märchen ist eine sehr alte Geschichte. Dieses Märchen heißt: Schneewittchen. Das Märchen geht so:","neutral","no"
"Ein König und eine Königin leben in einem Schloss. Die Königin bekommt eine Tochter. Die Tochter ist sehr schön:","positive","no"
"Die Tochter hat schwarze Haare. Und rote Lippen. Und ihre Haut ist so weiß wie Schnee. Deshalb bekommt die Tochter den Namen: Schneewittchen.","positive","no"
"Schneewittchen ist nur wenige Tage alt. Da stirbt die Königin. Die Geburt war nämlich sehr schwer.","negative","no"
"Ein Jahr vergeht. Da heiratet der König eine neue Frau.","neutral","no"
"Die neue Frau ist jetzt die Königin. Die neue Königin ist schön. Und auf ihre Schönheit ist die neue Königin sehr stolz.","neutral","no"
"Deshalb darf niemand schöner sein als die Königin. Sonst wird die Königin sehr böse.","negative","no"
"Die Königin hat einen besonderen Spiegel. Der Spiegel kann sprechen.","neutral","no"
"Und so fragt die Königin den Spiegel jeden Tag: Mein lieber Spiegel an der Wand: Wer ist die Schönste im ganzen Land?","neutral","no"
"Und der Spiegel antwortet: Frau Königin: Du bist die Schönste im Land. Aber Schneewittchen ist noch viel schöner als du.","neutral","no"
"Da wird die Königin wütend. Die Königin ist neidisch auf Schneewittchen. Die Königin will nämlich die Schönste sein.","negative","no"
"So ruft die Königin einen Jäger zu sich. Die Königin sagt zum Jäger: Ich kann Schneewittchen nicht mehr sehen. Bring Schneewittchen in den Wald. Und töte Schneewittchen.","negative","no"
"Dann bring mir das Herz von Schneewittchen. Und auch ihre Leber. So weiß ich: Schneewittchen ist tot.","negative","no"
"Der Jäger hat Angst vor der Königin. Deshalb gehorcht der Jäger. Der Jäger geht mit Schneewittchen in den Wald. Der Jäger hat ein großes Messer dabei.","negative","no"
"Mit dem Messer will der Jäger Schneewittchen töten. Aber Schneewittchen weint viele Tränen.","negative","no"
"Und sagt: Lieber Jäger: Bitte tu mir nichts. Ich laufe in den Wald. Und ich komme nie mehr zurück.","negative","no"
"Der Jäger mag Schneewittchen sehr. Deshalb antwortet der Jäger: Lauf weg. Aber komm nie zurück.","positive","no"
"Und so läuft Schneewittchen in den tiefen Wald.","neutral","no"
"Der Jäger denkt: Die Königin wird mich bestrafen. Deshalb tötet der Jäger ein Wildschwein.","negative","no"
"Der Jäger nimmt das Herz und die Leber vom Wildschwein. Und bringt es der Königin.","neutral","no"
"Die Königin will das Herz und die Leber essen. Deshalb muss der Koch das Herz und die Leber kochen. Der Koch bringt das Essen.","negative","no"
"Und die Königin denkt: Ich esse das Herz und die Leber von Schneewittchen. Jetzt ist Schneewittchen tot.","negative","no"
"Aber Schneewittchen ist nicht tot. Schneewittchen läuft durch den tiefen Wald. Schneewittchen ist ganz allein. Und Schneewittchen hat große Angst.","negative","no"
"Schneewittchen kommt zu einem Häuschen. Ein Häuschen ist ein kleines Haus. Schneewittchen geht in das Häuschen.","neutral","no"
"Und auch in dem Häuschen ist alles sehr klein. In dem Häuschen wohnen nämlich Zwerge.","neutral","no"
"Aber das weiß Schneewittchen nicht. Die Zwerge sind nämlich nicht zu Hause.","neutral","no"
"In dem Häuschen ist es sauber. Und es gibt einen kleinen Tisch.","positive","no"
"Auf dem Tisch stehen 7 kleine Teller. Und 7 kleine Becher. Und unter dem Dach sind 7 kleine Betten.","neutral","no"
"Schneewittchen ist sehr hungrig. Und durstig. Deshalb nimmt Schneewittchen von jedem Teller ein bisschen. So nimmt Schneewittchen niemandem zu viel weg.","neutral","no"
"Dann ist Schneewittchen müde. Schneewittchen legt sich in ein kleines Bett. Und schläft sofort ein.","neutral","no"
"Draußen ist es schon dunkel. Jetzt kommen die Zwerge nach Hause.","neutral","no"
"Die Zwerge machen das Licht an. Und die Zwerge denken: Jemand war in unserem Haus!","neutral","no"
"Die Zwerge rufen: Wer hat auf unseren Stühlen gesessen? Und wer hat von unseren Tellern gegessen? Und wer hat aus unseren Bechern getrunken?","neutral","no"
"Plötzlich ruft ein Zwerg: In meinem Bett liegt ein Mädchen! Das Mädchen ist sehr schön. Das Mädchen schläft!","positive","no"
"Die Zwerge lassen Schneewittchen schlafen. Am nächsten Morgen wacht Schneewittchen auf. Schneewittchen sieht die 7 Zwerge. Schneewittchen erschreckt sich.","neutral-negative","yes"
"Aber die 7 Zwerge sind sehr nett zu Schneewittchen.","positive","no"
"Die 7 Zwerge fragen: Wie heißt du? Schneewittchen antwortet: Ich heiße Schneewittchen.","neutral","no"
"Die Zwerge sagen: Wir sind die 7 Zwerge. Und wir wohnen hinter den 7 Bergen.","neutral","no"
"Dann fragen die Zwerge: Wie kommst du in unser Häuschen?","neutral","no"
"Und Schneewittchen erzählt von der Königin. Schneewittchen sagt: Ich kann nicht ins Schloss zurück.","negative","no"
"Die böse Königin will mich töten. Deshalb bin ich weggelaufen. Dann habe ich euer Häuschen gefunden.","negative-positive","yes"
"Die Zwerge sagen: Du kannst gerne bei uns bleiben. Aber dafür musst du unser Häuschen sauber machen. Und für uns das Essen kochen.","positive","no"
"Und so bleibt Schneewittchen bei den 7 Zwergen. Hinter den 7 Bergen. Die Zwerge arbeiten den ganzen Tag. Deshalb ist Schneewittchen oft alleine.","neutral-negative","yes"
"Die Zwerge sagen zu Schneewittchen: Pass gut auf dich auf. Und lass niemanden in das Häuschen.","neutral","no"
"Schneewittchen ist bei den 7 Zwergen im Wald. Und die böse Königin ist im Schloss.","neutral","no"
"Die Königin denkt: Schneewittchen ist tot. Und ich bin die Schönste im ganzen Land.","negative","no"
"Deshalb fragt die Königin ihren Spiegel: Mein lieber Spiegel an der Wand! Wer ist die Schönste im ganzen Land?","neutral","no"
"Und der Spiegel antwortet: Frau Königin: Du bist die Schönste im Land.","neutral","no"
"Aber Schneewittchen wohnt hinter den Bergen. Bei den 7 Zwergen. Und Schneewittchen ist noch viel schöner als du.","positive-negative","yes"
