id,text_original
S1,Hänsel und Gretel. Es war einmal: So fangen Märchen an. Ein Märchen ist eine sehr alte Geschichte. Dieses Märchen heißt:  änsel und Gretel. Das Märchen geht so:
S2,Eine Familie lebt an einem großen Wald. Der Vater hat 2 Kinder: Der Junge heißt Hänsel. Und das Mädchen heißt Gretel.
S3,Die Mutter von Hänsel und Gretel ist gestorben. Jetzt hat der Vater eine neue Frau. Diese Frau ist die Stiefmutter von Hänsel und Gretel.
S4,Die Familie ist arm. Und die Familie hat nur wenig zu essen. Deshalb macht sich der Vater große Sorgen.
S5,Der Vater fragt seine neue Frau: Was soll aus uns werden? Wir haben nichts zu essen für meine armen Kinder.
S6,Seine Frau antwortet: Morgen bringen wir Hänsel und Gretel in den Wald. Alleine werden Hänsel und Gretel nicht den Weg nach Hause finden. Dann sind wir Hänsel und Gretel los.
S7,Der Vater antwortet: Ich will meine Kinder nicht im Wald lassen. Die wilden Tiere werden die Kinder fressen.
S8,Seine Frau antwortet: Du Dummkopf. Wir sind arm.
S9,Wir können nicht genug Essen für uns alle kaufen. Hänsel und Gretel müssen weg.
S10,Hänsel und Gretel liegen im Bett. Aber Hänsel und Gretel sind noch wach.
S11,Deshalb haben Hänsel und Gretel alles gehört. Gretel ist sehr traurig.
S12,Hänsel tröstet Gretel: Mach dir keine Sorgen. Morgen bringen uns Vater und die Stiefmutter in den Wald.
S13,Aber ich nehme kleine weiße Steine vom Hof mit. Die kleinen weißen Steine lasse ich auf den Weg fallen.
S14,Dann werden uns die kleinen weißen Steine den Weg nach Hause zeigen.
S15,Es ist der nächste Morgen. Die Stiefmutter weckt Hänsel und Gretel: Ihr faulen Kinder!
S16,Steht auf. Wir wollen in den Wald gehen. Und Holz sammeln.
S17,Die Familie geht in den Wald. Hänsel hat kleine weiße Steine vom Hof in seinen Hosen·taschen.
S18,Und Hänsel lässt die kleinen weißen Steine auf den Weg fallen. So wie Hänsel es Gretel versprochen hat.
