id,text_original,Sentiments,Multi
S1,Hänsel und Gretel. Es war einmal: So fangen Märchen an. Ein Märchen ist eine sehr alte Geschichte. Dieses Märchen heißt:  änsel und Gretel. Das Märchen geht so:,neutral,no
S2,Eine Familie lebt an einem großen Wald. Der Vater hat 2 Kinder: Der Junge heißt Hänsel. Und das Mädchen heißt Gretel.,neutral,no
S3,Die Mutter von Hänsel und Gretel ist gestorben. Jetzt hat der Vater eine neue Frau. Diese Frau ist die Stiefmutter von Hänsel und Gretel.,negative,no
S4,Die Familie ist arm. Und die Familie hat nur wenig zu essen. Deshalb macht sich der Vater große Sorgen.,negative,no
S5,Der Vater fragt seine neue Frau: Was soll aus uns werden? Wir haben nichts zu essen für meine armen Kinder.,negative,no
S6,Seine Frau antwortet: Morgen bringen wir Hänsel und Gretel in den Wald. Alleine werden Hänsel und Gretel nicht den Weg nach Hause finden. Dann sind wir Hänsel und Gretel los.,negative,no
S7,Der Vater antwortet: Ich will meine Kinder nicht im Wald lassen. Die wilden Tiere werden die Kinder fressen.,negative,no
S8,Seine Frau antwortet: Du Dummkopf. Wir sind arm.,negative,no
S9,Wir können nicht genug Essen für uns alle kaufen. Hänsel und Gretel müssen weg.,negative,no
S10,Hänsel und Gretel liegen im Bett. Aber Hänsel und Gretel sind noch wach.,neutral,no
S11,Deshalb haben Hänsel und Gretel alles gehört. Gretel ist sehr traurig.,negative,no
S12,Hänsel tröstet Gretel: Mach dir keine Sorgen. Morgen bringen uns Vater und die Stiefmutter in den Wald.,negative,no
S13,Aber ich nehme kleine weiße Steine vom Hof mit. Die kleinen weißen Steine lasse ich auf den Weg fallen.,neutral,no
S14,Dann werden uns die kleinen weißen Steine den Weg nach Hause zeigen.,positive,no
S15,Es ist der nächste Morgen. Die Stiefmutter weckt Hänsel und Gretel: Ihr faulen Kinder!,negative,no
S16,Steht auf. Wir wollen in den Wald gehen. Und Holz sammeln.,neutral,no
S17,Die Familie geht in den Wald. Hänsel hat kleine weiße Steine vom Hof in seinen Hosen·taschen.,neutral,no
S18,Und Hänsel lässt die kleinen weißen Steine auf den Weg fallen. So wie Hänsel es Gretel versprochen hat.,neutral,no
