id;text_original;Sentiments-GPT5;Multi-GPT5;Sentiments-Perplexity;Multi-Perplexity;Sentiments-Mistral;Multi-Mistral;Sentiments-GPTOSS20B;Multi-GPTOSS20B
S1;Dornröschen. Es war einmal: So fangen Märchen an. Ein Märchen ist eine sehr alte Geschichte. Dieses Märchen heißt: Dornröschen. Das Märchen geht so:;neutral;no;neutral;no;neutral;no;neutral;no
S2;Ein König und eine Königin wünschen sich ein Kind. An einem Morgen badet die Königin. Da kommt ein Frosch.;neutral;no;neutral;no;neutral;no;neutral;no
S3;Der Frosch sagt zur Königin: Du bekommst noch in diesem Jahr ein Kind.;positive;no;positive;no;positive;no;neutral;no
S4;Und der Frosch hat recht: Die Königin bekommt noch im gleichen Jahr ein Mädchen. Das Mädchen heißt: Dornröschen.;positive;no;positive;no;positive;no;neutral;no
S5;Der König und die Königin sind sehr glücklich. Deshalb feiern der König und die Königin ein großes Fest.;positive;no;positive;no;positive;no;positive;no
S6;Zu diesem Fest lädt der König alle ein: Die Familie. Freunde. Und viele andere Gäste.;positive;no;positive;no;positive;no;positive;no
S7;Der König will auch die 13 Feen aus dem Königreich einladen. Feen können Wünsche erfüllen.;positive;no;positive;no;neutral;no;positive;no
S8;Die 13 Feen sollen Dornröschen gute Dinge wünschen.;positive;no;positive;no;positive;no;positive;no
S9;Und die 13 Feen sollen von goldenen Tellern essen.;neutral;no;neutral;no;neutral;no;neutral;no
S10;Aber der König hat nur 12 goldene Teller. Deshalb lädt der König nur 12 Feen ein.;neutral;no;neutral;no;negative;no;negative;no
S11;Das heißt: Die 13. Fee darf nicht zu dem großen Fest kommen.;negative;no;neutral;no;negative;no;negative;no
S12;Es ist der Tag von dem Fest. Viele Gäste sind gekommen. Und auch die 12 Feen sind auf dem Fest.;positive;no;positive;no;positive;no;neutral;no
S13;Die Feen sprechen ihre guten Wünsche zu Dornröschen:;positive;no;positive;no;positive;no;positive;no
S14;Die Feen wünschen Dornröschen Schönheit. Und Freundlichkeit. Und viele andere Dinge.;positive;no;positive;no;positive;no;positive;no
S15;So sprechen 11 Feen ihre guten Wünsche.;positive;no;positive;no;positive;no;positive;no
S16;Plötzlich kommt die 13. Fee zur Tür herein. Die 13. Fee ist sehr wütend.;negative;no;negative;no;negative;no;negative;no
S17;Der König hat die 13. Fee nämlich nicht eingeladen. Der König hatte ja nur 12 goldene Teller.;neutral;no;neutral;no;negative;no;neutral;no
S18;Jetzt sagt die 13. Fee zum König und zur Königin:;neutral;no;neutral;no;negative;no;neutral;no
S19;An ihrem 15. Geburtstag soll sich Dornröschen an einer Spindel stechen. Und sterben.;negative;no;negative;no;negative;no;negative;no
S20;So spricht die 13. Fee ihren bösen Wunsch. Und verschwindet.;negative;no;negative;no;negative;no;negative;no
S21;Die Gäste sind erschrocken. Und alle Menschen auf dem Fest haben Angst.;negative;no;negative;no;negative;no;negative;no
