id,text_original,Sentiments,Multi
S1,Die Bremer Stadtmusikanten. Es war einmal: So fangen Märchen an. Ein Märchen ist eine sehr alte Geschichte.,neutral,no
S2,Dieses Märchen heißt: Die Bremer Stadtmusikanten. Das Märchen geht so:,neutral,no
S3,Ein Mann hat eine Mühle. Der Mann hat auch einen Esel.,neutral,no
S4,Der Esel trägt viele Jahre lang Getreidesäcke zur Mühle.,neutral,no
S5,Mit den Jahren wird der Esel alt. Und schwach.,neutral,no
S6,Aber der Mann möchte keinen alten und schwachen Esel. Deshalb will der Mann den Esel töten.,negative,no
S7,Das merkt der Esel. Deshalb will der Esel fortlaufen.,neutral,no
S8,Der Esel will nach Bremen gehen. Bremen ist eine Stadt in Norddeutschland.,neutral,no
S9,In Bremen will der Esel ein Stadtmusikant werden. Musikant ist ein anderes Wort für Musiker.,neutral,no
S10,Der Esel will also in Bremen Musik machen.,neutral,no
S11,So läuft der Esel fort. Nach einer Weile trifft der Esel einen Hund.,neutral,no
S12,Der Hund sieht sehr traurig aus. Der Esel fragt den Hund: Warum bist du so traurig?,negative,no
S13,Der Hund antwortet: Ich bin alt. Und ich bin schwach.,negative,no
S14,Ich kann meinem Herrn nicht mehr beim Jagen helfen. Mein Herr wollte mich töten. Deshalb bin ich fortgelaufen.,negative,no
S15,Der Esel sagt zum Hund. Ich gehe nach Bremen. In Bremen werde ich Stadtmusikant. Willst du mitkommen?,neutral,no
S16,Der Hund kommt gerne mit. Und so gehen der Esel und der Hund zusammen nach Bremen.,positive,no
S17,Auf ihrem Weg treffen der Esel und der Hund eine Katze. Die Katze sieht sehr traurig aus.,negative,no
S18,Der Esel fragt die Katze: Warum bist du so traurig?,negative,no
S19,Die Katze sagt: Ich bin alt. Und ich bin schwach.,negative,no
S20,Ich kann keine Mäuse mehr jagen. Deshalb will mein Herr mich töten.,negative,no
S21,Der Esel sagt zur Katze: Wir gehen nach Bremen. In Bremen werden wir Stadtmusikanten. Willst du mitkommen?,neutral,no
S22,Die Katze kommt gerne mit. Und so gehen der Esel und der Hund und die Katze zusammen nach Bremen.,positive,no
S23,Auf ihrem Weg kommen die Tiere zu einem Bauernhof. Auf dem Bauernhof treffen die Tiere einen Hahn.,neutral,no
S24,Der Hahn schreit sehr laut. Der Esel fragt den Hahn: Warum schreist du so laut?,neutral,no
S25,Der Hahn antwortet: Morgen ist ein großes Fest. Dann will mich meine Herrin braten. Und essen.,negative,no
S26,Aber ich will nicht sterben. Deshalb schreie ich so laut.,negative,no
S27,Der Esel sagt zum Hahn. Wir gehen nach Bremen. In Bremen werden wir Stadtmusikanten. Willst du mitkommen?,neutral,no
S28,Und auch der Hahn kommt gerne mit. Zusammen gehen die 4 Tiere nach Bremen: Der Esel. Der Hund. Die Katze. Und der Hahn.,positive,no
S29,Aber der Weg nach Bremen ist sehr weit: Die Tiere gehen den ganzen Tag.,neutral,no
S30,Langsam wird es dunkel. Die Tiere kommen in einen Wald.,neutral,no
S31,Die Tiere sind sehr müde. Die Tiere wollen im Wald schlafen.,neutral,no
S32,Die Tiere suchen einen Platz zum Schlafen:,neutral,no
S33,Der Esel und der Hund legen sich unter einen großen Baum. Die Katze klettert auf den Baum. Und legt sich auf einen Ast. Der Hahn fliegt bis auf die Spitze vom Baum.,neutral,no
S34,Dann schaut sich der Hahn um: In der Nähe sieht der Hahn ein helles Licht brennen.,neutral,no
S35,Der Hahn denkt: Das Licht kommt von einem Haus.,neutral,no
S36,Der Hahn sagt zu den anderen Tieren: Ich kann ein Haus sehen. Lasst uns zu dem Haus gehen.,neutral,no
S37,Die Tiere finden die Idee vom Hahn gut. Die Tiere machen sich auf den Weg zum Haus.,neutral,no
S38,Die Tiere folgen dem Licht. Das Licht wird immer heller. Die Tiere kommen zu dem Haus.,neutral,no
S39,Und der Esel schaut durch ein Fenster in das Haus. Der Hahn fragt den Esel: Was siehst du?,neutral,no
S40,Der Esel antwortet: Ich sehe einen großen Tisch. An dem Tisch sitzen Räuber. Die Räuber essen und trinken.,neutral,no
S41,Der Hahn sagt zum Esel: Wir wollen auch an dem Tisch sitzen. Der Esel stimmt zu.,neutral,no
S42,Und der Esel sagt: Wir müssen die Räuber verjagen.,neutral,no
S43,Dann können wir auch an dem Tisch sitzen. Und essen und trinken.,neutral,no
S44,Die Tiere überlegen. Dann haben die Tiere eine Idee:,neutral,no
S45,Der Esel stellt sich vor das Fenster. Der Hund springt auf den Rücken vom Esel. Die Katze klettert auf den Rücken vom Hund. Und der Hahn fliegt auf den Rücken von der Katze.,neutral,no
S46,Dann machen die 4 Tiere zusammen Musik: Der Esel schreit. Der Hund bellt. Die Katze miaut. Und der Hahn kräht.,neutral,no
S47,Die Musik von den 4 Tieren ist laut. Und die Musik ist schrecklich.,negative,no
S48,Die Räuber denken: Das ist ein Gespenst. Nur Gespenster können so einen schrecklichen Lärm machen.,negative,no
S49,Die Räuber bekommen Angst. Und die Räuber laufen fort.,negative,no
S50,Jetzt ist die Tür vom Haus offen. Die 4 Tiere gehen in das Haus.,neutral,no
S51,Und setzen sich an den Tisch. Die 4 Tiere essen und trinken. Dann sind die 4 Tiere satt.,neutral,no
S52,Und werden müde. Die 4 Tiere suchen sich einen Schlafplatz:,neutral,no
S53,Der Esel geht vor das Haus. Vor dem Haus ist ein Misthaufen. Der Esel schläft bei dem Misthaufen.,neutral,no
S54,Der Hund schläft vor der Tür. Die Katze schläft in der Küche.,neutral,no
S55,Und der Hahn schläft auf einem Balken unter dem Dach. Das Licht ist aus. Und die 4 Tiere schlafen ein.,neutral,no
